year,geo,dguid,geo_level,is_national,gender,age,population
2021,Manitoba,2021A000246,province,False,Men+,16_plus,559874
2021,Manitoba,2021A000246,province,False,Total - gender,16_plus,1115807
2021,Manitoba,2021A000246,province,False,Women+,16_plus,555933
2021,New Brunswick,2021A000213,province,False,Men+,16_plus,329398
2021,New Brunswick,2021A000213,province,False,Total - gender,16_plus,671039
2021,New Brunswick,2021A000213,province,False,Women+,16_plus,341641
2021,Newfoundland and Labrador,2021A000210,province,False,Men+,16_plus,222363
2021,Newfoundland and Labrador,2021A000210,province,False,Total - gender,16_plus,453052
2021,Newfoundland and Labrador,2021A000210,province,False,Women+,16_plus,230689
2021,Northwest Territories,2021A000261,province,False,Men+,16_plus,18036
2021,Northwest Territories,2021A000261,province,False,Total - gender,16_plus,35077
2021,Northwest Territories,2021A000261,province,False,Women+,16_plus,17041
2021,Nova Scotia,2021A000212,province,False,Men+,16_plus,416756
2021,Nova Scotia,2021A000212,province,False,Total - gender,16_plus,851575
2021,Nova Scotia,2021A000212,province,False,Women+,16_plus,434819
2021,Nunavut,2021A000262,province,False,Men+,16_plus,13611
2021,Nunavut,2021A000262,province,False,Total - gender,16_plus,26702
2021,Nunavut,2021A000262,province,False,Women+,16_plus,13091
2021,Ontario,2021A000235,province,False,Men+,16_plus,6088818
2021,Ontario,2021A000235,province,False,Total - gender,16_plus,12374497
2021,Ontario,2021A000235,province,False,Women+,16_plus,6285679
2021,Prince Edward Island,2021A000211,province,False,Men+,16_plus,65877
2021,Prince Edward Island,2021A000211,province,False,Total - gender,16_plus,136190
2021,Prince Edward Island,2021A000211,province,False,Women+,16_plus,70313
2021,Quebec,2021A000224,province,False,Men+,16_plus,3538613
2021,Quebec,2021A000224,province,False,Total - gender,16_plus,7120198
2021,Quebec,2021A000224,province,False,Women+,16_plus,3581585
2021,Saskatchewan,2021A000247,province,False,Men+,16_plus,464135
2021,Saskatchewan,2021A000247,province,False,Total - gender,16_plus,926833
2021,Saskatchewan,2021A000247,province,False,Women+,16_plus,462698
2021,Yukon,2021A000260,province,False,Men+,16_plus,17688
2021,Yukon,2021A000260,province,False,Total - gender,16_plus,35479
2021,Yukon,2021A000260,province,False,Women+,16_plus,17791
2022,Alberta,2021A000248,province,False,Men+,16_plus,1817488
2022,Alberta,2021A000248,province,False,Total - gender,16_plus,3628454
2022,Alberta,2021A000248,province,False,Women+,16_plus,1810966
2022,British Columbia,2021A000259,province,False,Men+,16_plus,2245693
2022,British Columbia,2021A000259,province,False,Total - gender,16_plus,4563465
2022,British Columbia,2021A000259,province,False,Women+,16_plus,2317772
2022,Canada,2021A000011124,national,True,Men+,16_plus,16042767
2022,Canada,2021A000011124,national,True,Total - gender,16_plus,32402869
2022,Canada,2021A000011124,national,True,Women+,16_plus,16360102
2022,Manitoba,2021A000246,province,False,Men+,16_plus,570507
2022,Manitoba,2021A000246,province,False,Total - gender,16_plus,1136080
2022,Manitoba,2021A000246,province,False,Women+,16_plus,565573
2022,New Brunswick,2021A000213,province,False,Men+,16_plus,337021
2022,New Brunswick,2021A000213,province,False,Total - gender,16_plus,686223
2022,New Brunswick,2021A000213,province,False,Women+,16_plus,349202
2022,Newfoundland and Labrador,2021A000210,province,False,Men+,16_plus,224807
2022,Newfoundland and Labrador,2021A000210,province,False,Total - gender,16_plus,457413
2022,Newfoundland and Labrador,2021A000210,province,False,Women+,16_plus,232606
2022,Northwest Territories,2021A000261,province,False,Men+,16_plus,18108
2022,Northwest Territories,2021A000261,province,False,Total - gender,16_plus,35248
2022,Northwest Territories,2021A000261,province,False,Women+,16_plus,17140
2022,Nova Scotia,2021A000212,province,False,Men+,16_plus,427354
2022,Nova Scotia,2021A000212,province,False,Total - gender,16_plus,872481
2022,Nova Scotia,2021A000212,province,False,Women+,16_plus,445127
2022,Nunavut,2021A000262,province,False,Men+,16_plus,13742
2022,Nunavut,2021A000262,province,False,Total - gender,16_plus,27012
2022,Nunavut,2021A000262,province,False,Women+,16_plus,13270
2022,Ontario,2021A000235,province,False,Men+,16_plus,6248682
2022,Ontario,2021A000235,province,False,Total - gender,16_plus,12676090
2022,Ontario,2021A000235,province,False,Women+,16_plus,6427408
2022,Prince Edward Island,2021A000211,province,False,Men+,16_plus,68113
2022,Prince Edward Island,2021A000211,province,False,Total - gender,16_plus,140649
2022,Prince Edward Island,2021A000211,province,False,Women+,16_plus,72536
2022,Quebec,2021A000224,province,False,Men+,16_plus,3583980
2022,Quebec,2021A000224,province,False,Total - gender,16_plus,7206520
2022,Quebec,2021A000224,province,False,Women+,16_plus,3622540
2022,Saskatchewan,2021A000247,province,False,Men+,16_plus,469197
2022,Saskatchewan,2021A000247,province,False,Total - gender,16_plus,936941
2022,Saskatchewan,2021A000247,province,False,Women+,16_plus,467744
2022,Yukon,2021A000260,province,False,Men+,16_plus,18075
2022,Yukon,2021A000260,province,False,Total - gender,16_plus,36293
2022,Yukon,2021A000260,province,False,Women+,16_plus,18218
