"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Newfoundland and Labrador","2021A000210","Total - gender","16 to 64 years","Persons","249","units","0","v467289","2.1.97","337422","","","","0"
"2020","Newfoundland and Labrador","2021A000210","Total - gender","16 to 64 years","Persons","249","units","0","v467289","2.1.97","333392","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - gender","16 to 64 years","Persons","249","units","0","v467289","2.1.97","329844","","","","0"
"2022","Newfoundland and Labrador","2021A000210","Total - gender","16 to 64 years","Persons","249","units","0","v467289","2.1.97","330438","","","","0"
"2023","Newfoundland and Labrador","2021A000210","Total - gender","16 to 64 years","Persons","249","units","0","v467289","2.1.97","333926","","","","0"
"2024","Newfoundland and Labrador","2021A000210","Total - gender","16 to 64 years","Persons","249","units","0","v467289","2.1.97","338137","","","","0"
"2025","Newfoundland and Labrador","2021A000210","Total - gender","16 to 64 years","Persons","249","units","0","v467289","2.1.97","337946","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Total - gender","65 years and older","Persons","249","units","0","v467001","2.1.104","104491","","","","0"
"2018","Newfoundland and Labrador","2021A000210","Total - gender","65 years and older","Persons","249","units","0","v467001","2.1.104","109050","","","","0"
"2019","Newfoundland and Labrador","2021A000210","Total - gender","65 years and older","Persons","249","units","0","v467001","2.1.104","113764","","","","0"
"2020","Newfoundland and Labrador","2021A000210","Total - gender","65 years and older","Persons","249","units","0","v467001","2.1.104","118470","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - gender","65 years and older","Persons","249","units","0","v467001","2.1.104","123208","","","","0"
"2022","Newfoundland and Labrador","2021A000210","Total - gender","65 years and older","Persons","249","units","0","v467001","2.1.104","126975","","","","0"
"2023","Newfoundland and Labrador","2021A000210","Total - gender","65 years and older","Persons","249","units","0","v467001","2.1.104","130952","","","","0"
"2024","Newfoundland and Labrador","2021A000210","Total - gender","65 years and older","Persons","249","units","0","v467001","2.1.104","134891","","","","0"
"2025","Newfoundland and Labrador","2021A000210","Total - gender","65 years and older","Persons","249","units","0","v467001","2.1.104","138514","","","","0"
"2017","Newfoundland and Labrador","2021A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","262655","","","","0"
"2018","Newfoundland and Labrador","2021A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","261715","","","","0"
"2019","Newfoundland and Labrador","2021A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","261230","","","","0"
"2020","Newfoundland and Labrador","2021A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","260669","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","260460","","","","0"
"2022","Newfoundland and Labrador","2021A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","262745","","","","0"
"2023","Newfoundland and Labrador","2021A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","266583","","","","0"
"2024","Newfoundland and Labrador","2021A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","270407","","","","0"
"2025","Newfoundland and Labrador","2021A000210","Men+","All ages","Persons","249","units","0","v466984","2.2.1","271718","","","","0"
